580	200	250e-6	25000	0.1	9	0	1		
550	200	250e-6	25000	0.1	9	0	1		
750	200	250e-6	25000	0.1	9	0	1		
800	200	250e-6	25000	0.1	9	0	1		
925	200	250e-6	25000	0.1	9	0	1		
675	200	250e-6	25000	0.1	9	0	1		
700	200	250e-6	25000	0.1	9	0	1		
625	200	250e-6	25000	0.1	9	0	1		
650	200	250e-6	25000	0.1	9	0	1		
575	200	250e-6	25000	0.1	9	0	1		
600	200	250e-6	25000	0.1	9	0	1		
725	200	250e-6	25000	0.1	9	0	1		
950	200	250e-6	25000	0.1	9	0	1		
775	200	250e-6	25000	0.1	9	0	1		
850	200	250e-6	25000	0.1	9	0	1		
